"Pid","PTid","Pdescription_word","Pdescription_img","Pname","Pprice","Pprice_v","Pnum","PTname"
"1","1","Simple is delicious, extracts classic espresso, blends with water, and has a rich aroma.","image/1532401784626.jpg","American coffee","12","8","100","Hand-modulated espresso"
"2","1","True color classic coffee.Freshly extracted espresso is slowly poured into steamed milk, covered with soft milk foam, simple fragrance and pure.","image/1532400465594.jpg","Latte","12","8","100","Hand-modulated espresso"
"3","1","Mocha originally referred to a coffee bean with a chocolate flavor. Now, this chocolate coffee still gives you pure warmth.Mocha sauce is added to the espresso, and the steamed milk is interwoven with silky and mellow.","image/1532400487696.jpg","Mocha","12","8","100","Hand-modulated espresso"
"4","1","The steamed milk is blended with espresso, covered with thick, dense milk foam, and sprinkled with cinnamon or cocoa powder.","image/1532400522724.jpg","Cappuccino","12","8","100","Hand-modulated espresso"
"5","1","Macchiato means ""imprint"" in Italian.Start with steamed milk and add flavored syrup, then pour in the mellow espresso, leaving a unique mark that belongs to Macchiato.","image/1532400560956.jpg","Caramel Macchiato","12","8","100","Hand-modulated espresso"
"6","1","Extract Starbucks Concentrated Roasted Coffee Bean Extract, each mouth is full of scent, with a rich caramel and multi-layered taste, to take you on a Starbucks coffee tour.","image/1532400577020.jpg","Espresso","12","8","100","Hand-modulated espresso"
"7","1","The hazelnut flavor is complemented by the mellow espresso, blended in steamed milk to give you a warm, mellow aroma.","image/1532400588257.jpg","Hazelnut flavor latte","12","8","100","Hand-modulated espresso"
"8","2","The espresso espresso is blended with the rich caramel coffee frappuccino, and the top whipped cream is topped with caramel flavored sauce.Let you stop the delicious taste.","image/1532400686739.jpg","Caramel Espresso Frappuccino","12","8","100","Frappuccino"
"9","2","Mocha sauce and coffee are glamorous under the impact of ice cubes, and the cocoa pieces bring a different taste. The top is covered with cream and mocha sauce, making the rich more interesting.(cocoa chips are cocoa butter chocolate)","image/1532400873921.jpg","Mocha Coco Fragment Frappuccino","12","8","100","Frappuccino"
"10","2","The vanilla-flavored syrup is softly whipped with milk and ice cubes, and the taste is refreshing and pleasant.","image/1532400739363.jpg","Vanilla flavored frappuccino","12","8","100","Frappuccino"
"11","2","The freshness of the matcha, the smoothness of a piece of milk, and the unique refreshing of the ice and the cream.","image/1532400751424.jpg","Matcha Frappuccino","12","8","100","Frappuccino"
"12","2","In the coffee frappuccino, add espresso.Let each drop of mellow condense in the cup.","image/1532400766233.jpg","Espresso Frappuccino","12","8","100","Frappuccino"
"13","2","The refreshing of herbal tea, the sweet and sour of mango passion fruit juice is combined with ice.It is not necessary to distinguish whether the mouth is floral or fruity, and it is a good drink for the cool summer.","image/1532400784790.jpg","Mango Passion Fruit Tea Frappuccino","12","8","100","Frappuccino"
"14","2","Mocha sauce and Frappuccino roast coffee, happy in milk and ice, accompanied by snowy cream, make you energized every moment.","image/1532400929018.jpg","Mocha Frappuccino","12","8","100","Frappuccino"
"15","3","The high-quality black tea slowly shows a mild taste in the steamed milk, and the tea is scented with soft milk foam to give a classic flavor sauce.This is a dialogue between black tea and milk, and elegantly enjoy the black tea culture.","image/1532400955964.jpg","Black tea latte","12","8","100","ChavanaTM"
"16","3","High-quality matcha, steamed milk and delicate milk foam are combined with a classic sauce to create a smooth, sweet and elegant taste.","image/1532400975534.jpg","Matcha latte","12","8","100","ChavanaTM"
"17","3","Blended with the scent of Korean grapefruit, the sweetness of the Israeli grapefruit juice, the fruity aroma of American powdered grapefruit juice blended with mellow black tea, full of fruit and sweet grapefruit skin, embellished with a layer of artichoke honey deep into the mouth, let TA on this The cup is full of peopleâ€™s hearts and minds.","image/1532400990307.jpg","Tea Wana TM Ice Shake Pomelo Honey Black Tea","12","8","100","ChavanaTM"
"18","3","Cranberry blackcurrant juice blends with mellow iced black tea. Two different styles of raspberry and iced black tea shake out their own fruity aromas, yet they are all in one, obsessed with the sweet and sour of raspberry and tea.","image/1532401013110.jpg","Ice shake cranberry blackcurrant tea","12","8","100","ChavanaTM"
"19","3","It contains the original pressed peach juice and the large white peach flesh that you can eat. Take a bite and taste a piece, and keep the fresh taste of the lips.There is also a tea scent to relish the aftertaste, giving TA a naughty taste bud tea selection.There are two special tea bottoms to choose from: Matching Biluochun Green Tea: Fresh and mellow, green and elegant","image/1532401027676.jpg","Tea WanaTM Ice Peach Peach Green Tea","12","8","100","ChavanaTM"
"20","4","Two light and crisp American muffins paired with Canadian imported maple syrup (Maple Syrup), the layers of sweet and intoxicating, bring you a classic American breakfast experience.","image/1532401063911.jpg","American muffins","12","8","100","Baking"
"21","4","Enjoy the fine texture of high-quality European chocolate 
Starbucks exclusive American recipe 
","image/1532401083336.jpg","Fragrant chocolate muffin","12","8","100","Baking"
"22","4","The raisin is made from rum alcohol and has a unique taste. Imported high quality butter is made.Soft and crisp, sweet and palatable.","image/1532401096901.jpg","Honey","12","8","100","Baking"
"23","4","16-layer craftsmanship, soft andgolden Golden appearance, crisp and deliciousHoneycomb-like internal layer, French imported high-quality butter, rich flavor, crispy taste","image/1532401109492.jpg","French crispy","12","8","100","Baking"
"24","4","Enjoy the delicious taste of imported large blueberry fruit.Starbucks has a unique American recipe. Thetop layer is crispy and soft inside.","image/1532401177673.jpg","Blueberry muffin","12","8","100","Baking"
"25","4","Soft and elastic on the palate. Avariety of nuts are chewy.Starbucks is uniquely formulated.","image/1532401194974.jpg","Whole wheat walnut muffin","12","8","100","Baking"
"26","5","Three pure blends of black and white from France and Belgium, chocolate from different regions brings a more pure and rich cocoa flavor.","image/1532401216958.jpg","Thick triple black chocolate cake","12","8","100","Cake & Dessert"
"27","5","Innovatively developed by the Starbucks R&D team, the blueberry cookie light cheesecake is blended with three different brands of cream cheese using a unique mixing and baking process to create a light cheese flavor and a delicate silky taste, which is different from New York. The cheesecake is mellow.","image/1532401229985.jpg","Blueberry Cookie Wind Light Cheesecake","12","8","100","Cake & Dessert"
"28","5","A selection of Italian imported Mascarpone cheeses and Masala white wines, combined with Starbucks coffee, combines the unique flavours of cheese, wine and coffee to complement each other.","image/1532401259781.jpg","Starbucks Coffee Tiramisu Cake","12","8","100","Cake & Dessert"
"29","5","Five unique flavors: Caramel Macchiato, Chestnut Latte, Raspberry, Matcha Latte, VanillaAuthentic French traditional craftsmanshipSoft and tasteful sweetcoffee with a recommendation: Starbucks Kenya Coffee Beans / Starbucks Ethiopian coffee beans","image/1532401272436.jpg","French macaron","12","8","100","Cake & Dessert"
"30","5","Six flavors, rich and enticing: pistachio, vanilla, lemon, caramel, raspberry, chocolate,small and exquisitesurface decoration, handmade Caesar, originality","image/1532401285993.jpg","French lightning puff","12","8","100","Cake & Dessert"
"31","6","After baking, the bread is crispy and tender, the rich cheese taste is matched with the sweetness of beef and vegetables, and the savory flavor isfilledwithhigh-quality beef, sweet pepper and onion. The selected cheese and butter are added.","image/1532401310867.jpg","Layer beef baguette","12","8","100","Sandwich, panini, roll"
"32","6","High-quality imported butter to make dough, carefully baked crispy savory, high-quality cheese and ham slices, salty and palatable, endless aftertaste.","image/1532401323486.jpg","Ham and cheese","12","8","100","Sandwich, panini, roll"
"33","6","English-style muffin made from high-quality whole-wheat flour, healthy and visible.Inside, the crispy turkey bacon meat and delicate texture, soft white car cheese, and light pure protein cake.A healthy breakfast selection with quality protein.","image/1532401337557.jpg","Turkey Bacon English Muffin","12","8","100","Sandwich, panini, roll"
"34","6","Double cheese: Edmund cheese + cheddar cheeseHeated cheese strokes, rich taste, endless flavors 
Classic French lunch choice 
","image/1532401352519.jpg","Double cheese ham toast","12","8","100","Sandwich, panini, roll"
"35","6","Slow-baked Italian-style smoked ham with more than 5 hours, served with fragrant omelettes and soft salty savory cheese, placed in a soft crispy Chabart bread, with a cup of favorite coffee, a new day, from this Start your delicious breakfast!","image/1532401366809.jpg","Slow-baked ham cheese chabart","12","8","100","Sandwich, panini, roll"
"36","7","This Asian/Pacific integrated coffee is the first integrated coffee from Starbucks imported from China in 2009.","image/1532401392502.jpg","Starbucks Phoenix Dance Cloud Coffee Beans","12","8","100","Coffee beans"
"37","7","Kenyan coffee has a multi-layered and complex flavor, including juice-like acidity, obviously rich grapefruit flavor and the mellow flavor of the wine.","image/1532401419140.png","Starbucks Kenya Coffee Beans","12","8","100","Coffee beans"
"38","7","A very balanced coffee with a nutty and cocoa-like aroma, made from a blend of premium Latin American coffee beans, we offer this representative coffee for coffee lovers from the start.","image/1532401438112.png","Starbucks Preferred Coffee Beans","12","8","100","Coffee beans"
"39","7","With a strong earthy aroma, the flavor is exceptionally concentrated; the alcohol is heavy and rich, and Sumatra coffee is one of our very popular single-serve coffees.","image/1532401450920.png","Starbucks Sumatra Coffee Beans","12","8","100","Coffee beans"
"40","8","The white outer cup frosted glaze is matched with the inner cup bright glaze, so even if you drink tea and coffee, it will not slip.This mug is available in other cup sizes (12oz/16oz) and color (black).","image/1532401474937.jpg","3oz bronzing brand white try cup","12","8","100","Commodity"
"41","8","The middle of the horizontal can be unscrewed for easy cleaning and easy to put in ice.The lid of the cup adds a sling function for easy outdoor carrying.","image/1532401488985.jpg","500ml black Logo water bottle","12","8","100","Commodity"
"42","8","The black cup surface uses a splash of glaze with a laser Wordmark, and the faint light color makes the overall black no longer dull.This mug is available in other cup sizes (3oz/16oz) and color (white).","image/1532401501462.jpg","12oz bronzing brand black mug","12","8","100","Commodity"
"43","8","The middle of the horizontal can be unscrewed for easy cleaning and easy to put in ice.The lid of the cup adds a sling function for easy outdoor carrying.","image/1532401511592.jpg","500ml white Logo water bottle","12","8","100","Commodity"
"44","8","Bronze gold bottle, stylish and generous.Add a new hand to facilitate carrying out.","image/1532401521040.jpg","500ml gold Logo water bottle","12","8","100","Commodity"
